clean_answer,varnum,clean_answer_binned,abbr,Group,clean_group,ES,ESdescription,Title,FirstAuthor,SourcePublication,PublicationYear
Maintenance,5,"Service provider reproduction, growth, and population maintenance",OtherDriver,Biotic,Biotic,coastWQReg,"Regulation of freshwater and coastal water quality [e.g. filtration of particles, pathogens, excess nutrients, and other chemicals]",When things don't add up: quantifying impacts of multiple stressors from individual metabolism to ecosystem processing,Galic,ECOLOGY LETTERS,2018
Management Practices,1,Management/restoration,Driver,Human,Human,SoilProtect,"Formation, protection, and decontamination of soils and sediments [e.g decomposition, erosion control]",Microhabitat heterogeneity promotes soil fertility and ground-dwelling arthropod diversity in Mediterranean wood-pastures,Garcia-Tejero,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2016
Management Practices,1,Management/restoration,Driver,Human,Human,Food,Food and feed,Enhancing Soil Organic Matter as a Route to the Ecological Intensification of European Arable Systems,Garratt,ECOSYSTEMS,2018
Management Practices,1,Management/restoration,Driver,Human,Human,PestPath,"Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",Enhancing Soil Organic Matter as a Route to the Ecological Intensification of European Arable Systems,Garratt,ECOSYSTEMS,2018
Management Practices,1,Management/restoration,Driver,Human,Human,AQReg,"Regulation of air quality [e.g. levels of sulphur oxide, nitrogen oxides (NOx), filtration of pollutants]",The benefits of hedgerows for pollinators and natural enemies depends on hedge quality and landscape context,Garratt,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2017
"Hedge quality (""good"" or ""poor"")",2,Biotic characteristics of the plot,OtherDriver,Biotic,Biotic,AQReg,"Regulation of air quality [e.g. levels of sulphur oxide, nitrogen oxides (NOx), filtration of pollutants]",The benefits of hedgerows for pollinators and natural enemies depends on hedge quality and landscape context,Garratt,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2017
availability of semi-natural habitat (% area within 500m radius),3,Biotic characteristics of the plot,OtherDriver,Biotic,Biotic,AQReg,"Regulation of air quality [e.g. levels of sulphur oxide, nitrogen oxides (NOx), filtration of pollutants]",The benefits of hedgerows for pollinators and natural enemies depends on hedge quality and landscape context,Garratt,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2017
Distance from hedgerows,1,Topography and position,OtherDriver,Environmental,Environmental,Pollination,Pollination and dispersal of seeds or other propagules,The benefits of hedgerows for pollinators and natural enemies depends on hedge quality and landscape context,Garratt,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2017
Management Practices,1,Management/restoration,Driver,Human,Human,HabCreate,Habitat creation and maintenance,Experimental rewilding enhances grassland functional composition and pollinator habitat use,Garrido,JOURNAL OF APPLIED ECOLOGY,2019
Plant species richness,2,Service provider diversity/richness,OtherDriver,Biotic,Biotic,HabCreate,Habitat creation and maintenance,Experimental rewilding enhances grassland functional composition and pollinator habitat use,Garrido,JOURNAL OF APPLIED ECOLOGY,2019
Management Practices,1,Management/restoration,Driver,Human,Human,MaintainOpts,"Maintenance of options [e.g. benefits (including those of future generations) associated with the continued existence of a wide variety of species, populations and genotypes]",Experimental rewilding enhances grassland functional composition and pollinator habitat use,Garrido,JOURNAL OF APPLIED ECOLOGY,2019
Plant species richness,2,Service provider diversity/richness,OtherDriver,Biotic,Biotic,MaintainOpts,"Maintenance of options [e.g. benefits (including those of future generations) associated with the continued existence of a wide variety of species, populations and genotypes]",Experimental rewilding enhances grassland functional composition and pollinator habitat use,Garrido,JOURNAL OF APPLIED ECOLOGY,2019
Service Provider (Q17),1,Service provider identity,Driver,Biotic,Biotic,HabCreate,Habitat creation and maintenance,The relative importance of pollinator abundance and species richness for the temporal variance of pollination services,Genung,ECOLOGY,2017
Service Provider (Q17),1,Service provider identity,Driver,Biotic,Biotic,coastWQReg,"Regulation of freshwater and coastal water quality [e.g. filtration of particles, pathogens, excess nutrients, and other chemicals]",Harvested perennial grasslands provide ecological benchmarks for agricultural sustainability,Glover,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2010
Perennial vegetation,2,Biotic characteristics of the plot,OtherDriver,Biotic,Biotic,coastWQReg,"Regulation of freshwater and coastal water quality [e.g. filtration of particles, pathogens, excess nutrients, and other chemicals]",Harvested perennial grasslands provide ecological benchmarks for agricultural sustainability,Glover,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2010
Management Practices,1,Management/restoration,Driver,Human,Human,Energy,"Energy [e.g.  biomass-based fuels, such as biofuel crops, animal waste, fuelwood]",Harvested perennial grasslands provide ecological benchmarks for agricultural sustainability,Glover,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2010
Fertilizer (N and P),2,Fertilization,OtherDriver,Human,Human,Energy,"Energy [e.g.  biomass-based fuels, such as biofuel crops, animal waste, fuelwood]",Harvested perennial grasslands provide ecological benchmarks for agricultural sustainability,Glover,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2010
Herbicides/Insecticides/Fungicides,3,Insecticides/fungicides/pesticides/herbicides,OtherDriver,Human,Human,Energy,"Energy [e.g.  biomass-based fuels, such as biofuel crops, animal waste, fuelwood]",Harvested perennial grasslands provide ecological benchmarks for agricultural sustainability,Glover,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2010
Service Provider (Q17),1,Service provider identity,Driver,Biotic,Biotic,Pollination,Pollination and dispersal of seeds or other propagules,Harvested perennial grasslands provide ecological benchmarks for agricultural sustainability,Glover,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2010
Perennial vegetation,2,Biotic characteristics of the plot,OtherDriver,Biotic,Biotic,Pollination,Pollination and dispersal of seeds or other propagules,Harvested perennial grasslands provide ecological benchmarks for agricultural sustainability,Glover,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2010
Service Provider (Q17),1,Service provider identity,Driver,Biotic,Biotic,SoilProtect,"Formation, protection, and decontamination of soils and sediments [e.g decomposition, erosion control]",Harvested perennial grasslands provide ecological benchmarks for agricultural sustainability,Glover,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2010
Perennial vegetation,2,Biotic characteristics of the plot,OtherDriver,Biotic,Biotic,SoilProtect,"Formation, protection, and decontamination of soils and sediments [e.g decomposition, erosion control]",Harvested perennial grasslands provide ecological benchmarks for agricultural sustainability,Glover,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2010
Climate,1,Climate,Driver,Environmental,Environmental,freshWQReg,"Regulation of freshwater quantity, location and timing [e.g. flow of surface and groundwater used for drinking, irrigation]",Evaluating the effectiveness of urban trees to mitigate storm water runoff via transpiration and stemflow,Gotsch,URBAN ECOSYSTEMS,2018
solar radiation,2,Climate,OtherDriver,Environmental,Environmental,freshWQReg,"Regulation of freshwater quantity, location and timing [e.g. flow of surface and groundwater used for drinking, irrigation]",Evaluating the effectiveness of urban trees to mitigate storm water runoff via transpiration and stemflow,Gotsch,URBAN ECOSYSTEMS,2018
socioeconomic wealth,1,Characteristics of human population,OtherDriver,Human,Human,ClimReg,Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],Assessing mismatches in ecosystem services proficiency across the urban fabric of Porto (Portugal): The influence of structural and socioeconomic variables,Graca,ECOSYSTEM SERVICES,2017
socioeconomic wealth,1,Characteristics of human population,OtherDriver,Human,Human,coastWQReg,"Regulation of freshwater and coastal water quality [e.g. filtration of particles, pathogens, excess nutrients, and other chemicals]",Assessing mismatches in ecosystem services proficiency across the urban fabric of Porto (Portugal): The influence of structural and socioeconomic variables,Graca,ECOSYSTEM SERVICES,2017
socioeconomic wealth,1,Characteristics of human population,OtherDriver,Human,Human,freshWQReg,"Regulation of freshwater quantity, location and timing [e.g. flow of surface and groundwater used for drinking, irrigation]",Assessing mismatches in ecosystem services proficiency across the urban fabric of Porto (Portugal): The influence of structural and socioeconomic variables,Graca,ECOSYSTEM SERVICES,2017
Management Practices,1,Management/restoration,Driver,Human,Human,SoilProtect,"Formation, protection, and decontamination of soils and sediments [e.g decomposition, erosion control]",Do riparian reserves support dung beetle biodiversity and ecosystem services in oil palm- dominated tropical landscapes?,Gray,ECOLOGY AND EVOLUTION,2014
Land use change,1,Land use and land cover change,Driver,Human,Human,Food,Food and feed,Performance of salmon fishery portfolios across western North America,Griffiths,JOURNAL OF APPLIED ECOLOGY,2014
Management Practices,2,Management/restoration,Driver,Human,Human,Food,Food and feed,Performance of salmon fishery portfolios across western North America,Griffiths,JOURNAL OF APPLIED ECOLOGY,2014
Latitude,3,Topography and position,OtherDriver,Environmental,Environmental,Food,Food and feed,Performance of salmon fishery portfolios across western North America,Griffiths,JOURNAL OF APPLIED ECOLOGY,2014
floodplain area,4,Land cover,OtherDriver,Environmental,Environmental,Food,Food and feed,Performance of salmon fishery portfolios across western North America,Griffiths,JOURNAL OF APPLIED ECOLOGY,2014
elevation,5,Topography and position,OtherDriver,Environmental,Environmental,Food,Food and feed,Performance of salmon fishery portfolios across western North America,Griffiths,JOURNAL OF APPLIED ECOLOGY,2014
watershed area,6,Land cover,OtherDriver,Environmental,Environmental,Food,Food and feed,Performance of salmon fishery portfolios across western North America,Griffiths,JOURNAL OF APPLIED ECOLOGY,2014
mid-channel nodes,7,Topography and position,OtherDriver,Environmental,Environmental,Food,Food and feed,Performance of salmon fishery portfolios across western North America,Griffiths,JOURNAL OF APPLIED ECOLOGY,2014
tributary nodes per drainage,8,Topography and position,OtherDriver,Environmental,Environmental,Food,Food and feed,Performance of salmon fishery portfolios across western North America,Griffiths,JOURNAL OF APPLIED ECOLOGY,2014
lake area,9,Land cover,OtherDriver,Environmental,Environmental,Food,Food and feed,Performance of salmon fishery portfolios across western North America,Griffiths,JOURNAL OF APPLIED ECOLOGY,2014
glacier area,10,Land cover,OtherDriver,Environmental,Environmental,Food,Food and feed,Performance of salmon fishery portfolios across western North America,Griffiths,JOURNAL OF APPLIED ECOLOGY,2014
Land use change,1,Land use and land cover change,Driver,Human,Human,coastWQReg,"Regulation of freshwater and coastal water quality [e.g. filtration of particles, pathogens, excess nutrients, and other chemicals]",The ecological adaptability of Phragmites australis to interactive effects of water level and salt stress in the Yellow River Delta,Guan,AQUATIC ECOLOGY,2017
Management Practices,2,Management/restoration,Driver,Human,Human,coastWQReg,"Regulation of freshwater and coastal water quality [e.g. filtration of particles, pathogens, excess nutrients, and other chemicals]",The ecological adaptability of Phragmites australis to interactive effects of water level and salt stress in the Yellow River Delta,Guan,AQUATIC ECOLOGY,2017
